id;name;status;landingUrl;coverImageUrl;createdAt
1;HomePro Electronics Spring New Arrivals – Week 7 (PL) 2025;1;https://example.com/campaigns/1;https://example.com/images/campaign-1.jpg;2026-07-30 12:05:41
2;BeautyBox Home & Living Autumn Weekend Deals – Week 36 (UK) 2026;0;https://example.com/campaigns/2;https://example.com/images/campaign-2.jpg;2025-06-17 00:03:38
3;MarketPlus Pharmacy Winter Flash Sale – Week 21 (IT) 2026;1;https://example.com/campaigns/3;https://example.com/images/campaign-3.jpg;2025-02-14 03:22:38
4;BuildIt Grocery Summer Mega Savings – Week 37 (FR) 2026;1;https://example.com/campaigns/4;https://example.com/images/campaign-4.jpg;2025-02-07 11:06:29
5;DailySave Pets Autumn Hot Picks – Week 41 (ES) 2026;1;https://example.com/campaigns/5;https://example.com/images/campaign-5.jpg;2026-10-24 18:40:07
6;BuildIt Pets Winter Hot Picks – Week 24 (CH) 2025;0;https://example.com/campaigns/6;https://example.com/images/campaign-6.jpg;2026-10-23 06:36:24
7;BeautyBox Beauty Spring Price Drop – Week 22 (UK) 2026;0;https://example.com/campaigns/7;https://example.com/images/campaign-7.jpg;2026-04-13 14:06:50
8;FreshMart Fashion Autumn Weekend Deals – Week 41 (SE) 2026;1;https://example.com/campaigns/8;https://example.com/images/campaign-8.jpg;2025-12-27 08:20:32
9;HomePro Sports Winter Hot Picks – Week 32 (DE) 2025;1;https://example.com/campaigns/9;https://example.com/images/campaign-9.jpg;2025-07-01 05:35:53
10;MarketPlus Pets Winter Limited Time – Week 9 (DE) 2026;1;https://example.com/campaigns/10;https://example.com/images/campaign-10.jpg;2025-09-20 12:49:03
11;FreshMart Pharmacy Autumn Limited Time – Week 40 (DE) 2025;1;https://example.com/campaigns/11;https://example.com/images/campaign-11.jpg;2026-12-26 03:13:57
12;BuildIt Grocery Spring Limited Time – Week 5 (CH) 2026;1;https://example.com/campaigns/12;https://example.com/images/campaign-12.jpg;2025-11-27 09:33:31
13;BuildIt Sports Winter Weekend Deals – Week 23 (NL) 2025;1;https://example.com/campaigns/13;https://example.com/images/campaign-13.jpg;2025-06-17 15:15:24
14;FreshMart DIY Spring Mega Savings – Week 41 (ES) 2025;0;https://example.com/campaigns/14;https://example.com/images/campaign-14.jpg;2026-02-01 19:34:15
15;BeautyBox Beauty Autumn Mega Savings – Week 9 (PL) 2026;1;https://example.com/campaigns/15;https://example.com/images/campaign-15.jpg;2026-10-07 06:04:23
16;PetPal Grocery Winter Limited Time – Week 43 (UK) 2025;1;https://example.com/campaigns/16;https://example.com/images/campaign-16.jpg;2026-12-30 16:25:32
17;SportZone Grocery Autumn Limited Time – Week 21 (UK) 2025;1;https://example.com/campaigns/17;https://example.com/images/campaign-17.jpg;2025-04-18 19:51:34
18;HomePro DIY Autumn Member Offer – Week 33 (IT) 2025;1;https://example.com/campaigns/18;https://example.com/images/campaign-18.jpg;2025-11-26 09:37:54
19;StyleHub Sports Winter Weekend Deals – Week 33 (IT) 2025;0;https://example.com/campaigns/19;https://example.com/images/campaign-19.jpg;2025-01-18 07:04:09
20;BeautyBox Electronics Autumn Member Offer – Week 6 (SE) 2026;1;https://example.com/campaigns/20;https://example.com/images/campaign-20.jpg;2025-05-17 19:26:56
21;MarketPlus Pets Summer Price Drop – Week 17 (PL) 2026;1;https://example.com/campaigns/21;https://example.com/images/campaign-21.jpg;2025-08-18 18:15:00
22;DailySave Pets Summer Weekend Deals – Week 8 (NL) 2025;1;https://example.com/campaigns/22;https://example.com/images/campaign-22.jpg;2026-04-17 13:10:27
23;PetPal DIY Winter Clearance – Week 22 (ES) 2025;0;https://example.com/campaigns/23;https://example.com/images/campaign-23.jpg;2025-07-05 13:55:18
24;HomePro Pharmacy Spring Limited Time – Week 12 (CH) 2026;1;https://example.com/campaigns/24;https://example.com/images/campaign-24.jpg;2025-10-31 04:27:13
25;BuildIt DIY Autumn Hot Picks – Week 4 (DE) 2026;1;https://example.com/campaigns/25;https://example.com/images/campaign-25.jpg;2026-04-22 20:52:53
26;PetPal Pets Autumn Member Offer – Week 37 (FR) 2026;1;https://example.com/campaigns/26;https://example.com/images/campaign-26.jpg;2026-12-09 16:35:01
27;FreshMart Grocery Autumn Clearance – Week 2 (UK) 2026;1;https://example.com/campaigns/27;https://example.com/images/campaign-27.jpg;2025-05-16 17:22:43
28;BeautyBox Sports Spring Price Drop – Week 24 (UK) 2025;1;https://example.com/campaigns/28;https://example.com/images/campaign-28.jpg;2025-02-02 16:52:19
29;StyleHub DIY Autumn Weekend Deals – Week 45 (PL) 2025;0;https://example.com/campaigns/29;https://example.com/images/campaign-29.jpg;2025-10-19 06:07:02
30;FreshMart DIY Spring Mega Savings – Week 41 (ES) 2025;1;https://example.com/campaigns/30;https://example.com/images/campaign-30.jpg;2025-02-14 22:06:08
31;MarketPlus Home & Living Spring Price Drop – Week 18 (ES) 2025;0;https://example.com/campaigns/31;https://example.com/images/campaign-31.jpg;2026-06-28 07:03:55
32;HomePro Pets Autumn Price Drop – Week 34 (ES) 2025;1;https://example.com/campaigns/32;https://example.com/images/campaign-32.jpg;2026-09-20 19:50:29
33;BuildIt Sports Autumn Member Offer – Week 27 (IT) 2026;1;https://example.com/campaigns/33;https://example.com/images/campaign-33.jpg;2026-08-07 15:45:09
34;PetPal DIY Winter Hot Picks – Week 9 (UK) 2025;0;https://example.com/campaigns/34;https://example.com/images/campaign-34.jpg;2025-09-05 01:22:02
35;MarketPlus Electronics Summer Member Offer – Week 1 (PL) 2026;1;https://example.com/campaigns/35;https://example.com/images/campaign-35.jpg;2026-07-15 01:05:25
36;TechWorld Pharmacy Spring Member Offer – Week 20 (FR) 2025;1;https://example.com/campaigns/36;https://example.com/images/campaign-36.jpg;2026-10-21 11:49:34
37;TechWorld Grocery Summer Hot Picks – Week 30 (NL) 2025;1;https://example.com/campaigns/37;https://example.com/images/campaign-37.jpg;2026-06-07 15:49:24
38;FreshMart Fashion Winter Hot Picks – Week 32 (PL) 2025;1;https://example.com/campaigns/38;https://example.com/images/campaign-38.jpg;2026-05-03 03:53:23
39;SportZone Pets Summer Flash Sale – Week 40 (NL) 2025;1;https://example.com/campaigns/39;https://example.com/images/campaign-39.jpg;2025-12-28 10:30:47
40;FreshMart Pharmacy Autumn Member Offer – Week 33 (DE) 2025;1;https://example.com/campaigns/40;https://example.com/images/campaign-40.jpg;2025-11-29 03:00:48
41;TechWorld Home & Living Summer Limited Time – Week 31 (PL) 2025;0;https://example.com/campaigns/41;https://example.com/images/campaign-41.jpg;2025-01-06 05:55:07
42;TechWorld Grocery Spring Clearance – Week 15 (IT) 2026;1;https://example.com/campaigns/42;https://example.com/images/campaign-42.jpg;2025-07-25 14:44:00
43;PetPal Home & Living Spring Weekend Deals – Week 45 (IT) 2025;1;https://example.com/campaigns/43;https://example.com/images/campaign-43.jpg;2025-02-12 13:04:06
44;BuildIt Fashion Winter Member Offer – Week 22 (ES) 2025;1;https://example.com/campaigns/44;https://example.com/images/campaign-44.jpg;2025-01-10 10:37:11
45;MarketPlus DIY Autumn Limited Time – Week 4 (ES) 2025;1;https://example.com/campaigns/45;https://example.com/images/campaign-45.jpg;2025-09-13 10:29:17
46;DailySave Sports Summer Mega Savings – Week 50 (DE) 2026;0;https://example.com/campaigns/46;https://example.com/images/campaign-46.jpg;2026-07-23 13:23:21
47;DailySave Pharmacy Autumn Mega Savings – Week 19 (DE) 2026;1;https://example.com/campaigns/47;https://example.com/images/campaign-47.jpg;2025-01-04 12:45:46
48;TechWorld Electronics Spring New Arrivals – Week 40 (PL) 2026;1;https://example.com/campaigns/48;https://example.com/images/campaign-48.jpg;2025-04-18 21:42:42
49;StyleHub Electronics Summer Limited Time – Week 47 (ES) 2026;1;https://example.com/campaigns/49;https://example.com/images/campaign-49.jpg;2026-05-08 10:18:52
50;MarketPlus Grocery Summer Limited Time – Week 49 (FR) 2025;0;https://example.com/campaigns/50;https://example.com/images/campaign-50.jpg;2026-01-10 06:41:57
51;FreshMart Electronics Spring Mega Savings – Week 5 (FR) 2026;1;https://example.com/campaigns/51;https://example.com/images/campaign-51.jpg;2025-09-18 13:08:56
52;DailySave Pharmacy Summer New Arrivals – Week 17 (IT) 2025;1;https://example.com/campaigns/52;https://example.com/images/campaign-52.jpg;2025-05-04 12:00:26
53;MarketPlus Pets Autumn New Arrivals – Week 6 (ES) 2025;1;https://example.com/campaigns/53;https://example.com/images/campaign-53.jpg;2026-03-28 14:08:09
54;MarketPlus Home & Living Autumn Mega Savings – Week 27 (PL) 2025;1;https://example.com/campaigns/54;https://example.com/images/campaign-54.jpg;2025-01-05 15:11:24
55;HomePro Home & Living Summer Flash Sale – Week 27 (CH) 2025;0;https://example.com/campaigns/55;https://example.com/images/campaign-55.jpg;2026-02-04 11:07:32
56;BuildIt Electronics Spring Weekend Deals – Week 18 (SE) 2025;1;https://example.com/campaigns/56;https://example.com/images/campaign-56.jpg;2026-07-11 06:50:40
57;MarketPlus Sports Autumn New Arrivals – Week 43 (NL) 2025;1;https://example.com/campaigns/57;https://example.com/images/campaign-57.jpg;2025-07-24 15:32:44
58;FreshMart Grocery Summer Price Drop – Week 52 (PL) 2025;1;https://example.com/campaigns/58;https://example.com/images/campaign-58.jpg;2025-02-18 20:01:13
59;StyleHub Pets Summer Flash Sale – Week 26 (SE) 2026;0;https://example.com/campaigns/59;https://example.com/images/campaign-59.jpg;2026-01-09 02:42:58
60;MarketPlus Home & Living Autumn Mega Savings – Week 27 (PL) 2025;0;https://example.com/campaigns/60;https://example.com/images/campaign-60.jpg;2025-04-02 15:59:42
61;StyleHub Beauty Spring Hot Picks – Week 44 (DE) 2025;1;https://example.com/campaigns/61;https://example.com/images/campaign-61.jpg;2026-10-22 19:07:35
62;DailySave Pharmacy Spring Weekend Deals – Week 25 (AT) 2026;1;https://example.com/campaigns/62;https://example.com/images/campaign-62.jpg;2026-10-21 23:57:06
63;MarketPlus Electronics Winter Limited Time – Week 14 (IT) 2025;1;https://example.com/campaigns/63;https://example.com/images/campaign-63.jpg;2026-10-22 04:56:57
64;HomePro Sports Autumn Clearance – Week 19 (PL) 2026;0;https://example.com/campaigns/64;https://example.com/images/campaign-64.jpg;2026-07-01 19:15:55
65;DailySave Home & Living Spring Weekend Deals – Week 43 (CH) 2025;1;https://example.com/campaigns/65;https://example.com/images/campaign-65.jpg;2026-11-02 08:58:01
66;PetPal DIY Winter Weekend Deals – Week 24 (FR) 2026;0;https://example.com/campaigns/66;https://example.com/images/campaign-66.jpg;2026-07-31 21:21:13
67;BeautyBox Home & Living Autumn Member Offer – Week 4 (DE) 2025;1;https://example.com/campaigns/67;https://example.com/images/campaign-67.jpg;2026-01-17 15:20:30
68;DailySave Electronics Summer Flash Sale – Week 25 (ES) 2025;1;https://example.com/campaigns/68;https://example.com/images/campaign-68.jpg;2026-12-31 03:37:12
69;PetPal Fashion Winter Hot Picks – Week 22 (CH) 2026;0;https://example.com/campaigns/69;https://example.com/images/campaign-69.jpg;2026-10-09 15:09:19
70;StyleHub Pets Autumn Clearance – Week 7 (UK) 2025;1;https://example.com/campaigns/70;https://example.com/images/campaign-70.jpg;2026-12-30 05:13:56
71;TechWorld Home & Living Autumn Weekend Deals – Week 44 (UK) 2026;0;https://example.com/campaigns/71;https://example.com/images/campaign-71.jpg;2025-07-03 20:19:19
